id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_datetime
24778,2,0,1,3,0,0,0,109,0,0,0,0,58.0,0,0,2018-03-23
24779,2,1,2,2,0,1,0,188,1,0,0,0,123.75,1,1,2018-08-08
24780,1,0,0,1,1,0,0,1,1,0,0,0,195.0,2,0,2018-09-22
24781,2,0,1,2,0,0,1,187,1,0,0,0,105.3,0,1,2018-08-22
24782,2,1,1,0,0,0,0,191,1,0,0,0,112.5,0,1,2018-08-22
24783,2,0,0,2,0,0,1,21,0,0,0,0,107.0,0,0,2018-10-09
24784,2,0,0,1,0,0,0,243,1,0,0,0,106.2,0,1,2018-09-09
24785,2,0,0,2,0,0,0,37,0,0,0,0,105.0,0,0,2018-05-13
24786,1,0,2,2,0,0,0,188,1,0,0,0,130.0,0,1,2018-09-02
24787,2,0,1,1,0,0,0,19,0,0,0,0,118.15,0,1,2018-09-19
24788,2,0,2,3,0,0,0,359,1,0,0,0,78.0,0,1,2018-10-14
24789,3,0,0,3,0,0,1,25,1,0,0,0,154.0,0,0,2018-11-17
24790,2,0,2,3,0,0,0,293,1,0,0,0,93.67,0,0,2018-12-25
24791,2,0,0,2,2,0,0,39,0,0,0,0,101.5,0,0,2017-08-10
24792,2,0,2,1,0,0,0,205,1,0,0,0,90.0,0,1,2018-12-29
24793,2,0,0,1,0,0,0,105,0,0,0,0,75.0,0,1,2018-04-12
24794,2,0,2,4,2,0,0,43,0,0,0,0,58.3,0,0,2017-12-23
24795,2,0,2,3,0,0,0,16,0,0,0,0,55.0,0,0,2018-12-25
24796,1,0,0,2,0,0,0,71,0,0,0,0,120.0,0,0,2018-06-14
24797,2,1,0,1,0,0,0,182,1,0,0,0,112.5,0,1,2018-07-28
24798,2,1,2,2,0,0,0,6,0,0,0,0,58.0,1,0,2017-12-06
24799,2,0,2,3,0,0,1,126,1,0,0,0,129.6,2,0,2018-08-23
24800,1,0,1,2,0,0,4,241,2,0,0,0,106.0,0,0,2018-10-24
24801,1,0,0,1,0,0,0,7,2,1,0,11,65.0,0,0,2018-06-29
24802,2,0,1,3,0,0,1,266,1,0,0,0,86.7,1,0,2018-12-26
24803,2,0,1,4,0,0,0,109,1,0,0,0,97.75,1,0,2018-11-21
24804,2,0,0,3,2,0,0,13,0,0,0,0,96.0,1,0,2018-08-26
24805,2,2,0,1,0,0,3,76,1,0,0,0,207.9,0,1,2018-08-18
24806,2,0,0,1,0,0,0,289,0,0,0,0,67.0,0,0,2017-09-18
24807,2,0,1,2,0,0,0,273,0,0,0,0,95.0,0,1,2018-09-13
24808,2,0,0,2,2,0,0,273,1,0,0,0,109.0,0,1,2018-07-17
24809,2,0,0,2,0,0,0,86,2,0,0,0,120.0,0,0,2017-09-09
24810,3,0,0,2,0,0,1,45,1,0,0,0,159.3,0,1,2018-05-16
24811,2,0,1,2,0,0,0,78,0,0,0,0,60.0,1,0,2018-03-25
24812,2,2,0,1,0,0,3,8,1,0,0,0,231.0,0,1,2018-07-19
24813,2,0,0,2,2,0,0,256,0,0,0,0,115.0,0,1,2018-06-16
24814,1,0,2,5,0,0,0,156,1,0,0,0,108.9,0,1,2018-08-16
24815,2,2,0,3,0,0,3,85,1,0,0,0,180.3,2,0,2018-07-18
24816,2,0,0,3,0,0,0,150,0,0,0,0,90.0,1,0,2018-06-16
24817,2,0,2,0,0,0,0,119,1,0,0,0,90.9,0,1,2018-04-17
24818,2,0,2,2,0,0,0,63,0,0,0,0,116.0,0,0,2017-09-09
24819,2,0,0,4,0,0,0,76,1,0,0,0,72.25,0,0,2017-12-08
24820,2,0,2,2,0,0,0,162,1,0,0,0,115.0,0,1,2018-05-14
24821,2,0,2,0,2,0,0,275,0,0,0,0,110.0,0,1,2018-04-17
24822,1,0,2,2,0,0,0,179,1,0,0,0,113.4,0,1,2018-10-30
24823,2,0,0,2,0,1,0,22,1,0,0,0,165.0,1,0,2017-09-16
24824,2,0,1,2,0,0,2,95,1,0,0,0,119.5,0,0,2018-06-17
24825,2,0,1,3,2,0,0,34,0,0,0,0,224.67,0,1,2018-09-23
24826,1,0,0,2,0,0,0,85,0,0,0,0,90.0,0,0,2017-09-30
24827,2,1,1,4,0,0,0,73,1,0,0,0,135.0,2,1,2018-10-12
24828,2,0,2,1,0,0,0,61,0,0,0,0,91.0,0,0,2017-10-10
24829,1,0,0,2,0,0,0,0,2,1,0,7,65.0,1,0,2018-12-25
24830,2,0,1,1,0,0,0,149,0,0,0,0,120.0,0,0,2018-06-10
24831,2,0,1,2,2,0,0,105,0,0,0,0,110.0,0,1,2018-10-12
24832,2,1,1,1,0,0,1,0,1,0,0,0,128.0,2,0,2018-03-21
24833,3,0,0,2,0,0,1,154,1,0,0,0,151.2,1,1,2018-10-21
24834,1,0,0,2,2,0,0,80,0,0,0,0,90.0,0,0,2017-10-09
24835,1,0,0,1,0,1,0,4,2,1,0,3,67.0,0,0,2018-10-05
24836,2,0,0,2,0,0,0,0,1,0,0,0,200.0,0,0,2017-09-23
24837,2,0,0,1,1,0,0,184,1,0,0,0,98.1,2,1,2018-10-17
24838,2,0,0,0,2,0,0,346,1,0,0,0,0.0,1,0,2018-09-13
24839,2,1,1,2,0,0,0,32,1,0,0,0,115.03,1,1,2018-04-25
24840,2,0,2,3,0,0,1,2,0,0,0,0,75.0,0,0,2017-09-20
24841,3,0,2,4,0,0,1,172,1,0,0,0,137.7,1,1,2018-07-22
24842,2,0,1,0,0,0,0,129,1,0,0,0,108.0,1,1,2018-10-10
24843,2,0,1,2,0,0,0,103,1,0,0,0,126.9,1,1,2018-06-09
24844,1,0,0,1,0,0,0,2,2,1,0,5,89.0,1,0,2018-04-20
24845,1,0,0,1,0,0,4,12,0,0,0,0,181.0,0,0,2018-05-19
24846,3,0,2,2,0,0,1,17,1,0,0,0,130.0,3,0,2018-11-11
24847,1,0,0,2,0,0,0,322,0,0,0,0,52.0,0,0,2018-12-14
24848,2,0,0,1,0,0,3,11,1,0,0,0,231.0,1,0,2018-07-15
24849,2,0,0,2,1,0,0,150,1,0,0,0,94.5,1,0,2018-07-16
24850,1,0,0,3,0,0,0,13,2,1,0,19,65.0,1,0,2018-03-14
24851,3,0,2,1,0,0,0,89,1,0,0,0,137.7,1,0,2018-07-06
24852,2,0,1,1,0,0,0,155,1,0,0,0,112.0,0,1,2018-07-18
24853,2,0,0,2,0,0,0,37,0,0,0,0,94.5,0,0,2017-09-16
24854,2,0,0,3,0,0,4,30,0,0,0,0,137.52,0,0,2018-03-31
24855,1,0,0,1,0,1,0,2,2,1,0,4,67.0,0,0,2018-06-13
24856,2,0,1,3,0,0,0,127,0,0,0,0,90.0,0,0,2018-04-28
24857,2,0,1,1,2,0,0,301,0,0,0,0,109.0,0,1,2018-07-30
24858,3,0,2,1,0,0,1,202,1,0,0,0,128.7,1,1,2018-10-22
24859,2,0,0,1,0,0,4,6,1,0,0,0,0.0,0,0,2018-03-04
24860,3,0,1,4,0,0,1,202,1,0,0,0,127.22,0,1,2018-08-24
24861,2,0,2,3,0,0,2,111,1,0,0,0,107.1,0,0,2018-08-14
24862,2,0,2,5,0,0,0,151,1,0,0,0,77.23,2,0,2018-08-02
24863,2,0,1,2,0,0,0,86,0,0,0,0,65.0,1,0,2018-05-02
24864,1,0,2,2,0,0,0,60,0,0,0,0,75.0,0,1,2018-03-20
24865,2,1,0,1,0,1,0,1,1,0,0,0,127.0,2,0,2018-08-24
24866,1,0,2,5,0,0,0,41,0,0,0,0,70.0,0,0,2017-12-27
24867,2,0,2,5,0,0,0,152,1,0,0,0,105.96,1,1,2018-08-13
24868,1,0,0,2,0,0,0,65,1,0,0,0,0.0,0,0,2017-10-01
24869,2,2,1,0,1,0,3,5,1,0,0,0,153.0,1,0,2017-08-19
24870,2,0,2,3,0,0,0,90,1,0,0,0,89.25,0,0,2017-10-25
24871,2,1,0,2,0,0,0,77,1,0,0,0,143.1,1,0,2018-05-17
24872,2,0,0,2,0,0,0,58,0,0,0,0,87.0,1,0,2018-01-27
24873,1,1,0,3,0,0,0,8,1,0,0,0,133.83,0,0,2018-04-04
24874,2,1,1,3,0,0,0,35,1,0,0,0,125.1,1,0,2018-03-24
24875,1,0,0,2,0,0,1,64,1,0,0,0,149.4,0,1,2018-09-20
24876,1,0,2,4,0,0,0,221,0,0,0,0,60.0,0,0,2017-10-17
24877,2,0,1,5,1,0,0,47,1,0,0,0,78.51,0,1,2018-03-11
24878,2,0,2,5,0,0,0,144,1,0,0,0,129.6,1,1,2018-09-05
24879,1,0,0,1,0,0,0,28,0,0,0,0,95.0,0,0,2017-10-29
24880,2,1,0,1,0,0,0,58,1,0,0,0,109.8,2,0,2018-12-07
24881,2,0,0,2,0,0,0,172,0,0,0,0,95.0,0,0,2018-06-22
24882,2,0,2,5,0,0,0,349,0,0,0,0,123.33,1,1,2018-04-04
24883,2,0,0,1,0,0,0,54,0,0,0,0,85.5,2,0,2018-10-27
24884,1,0,0,1,2,0,0,0,1,0,0,0,0.0,0,0,2017-09-30
24885,2,0,0,3,0,0,0,155,0,0,0,0,112.0,0,1,2018-07-14
24886,1,0,1,1,0,0,0,21,1,0,0,0,165.75,0,1,2018-11-07
24887,2,0,0,1,1,0,0,177,1,0,0,0,85.5,0,1,2018-06-27
24888,2,1,0,1,0,0,0,84,1,0,0,0,135.0,1,1,2018-10-02
24889,2,2,0,1,0,0,2,62,1,0,0,0,112.88,0,0,2018-07-06
24890,1,0,0,1,0,0,0,53,1,0,0,0,99.9,0,1,2018-04-18
24891,2,0,2,2,2,0,0,22,1,0,0,0,147.75,0,1,2018-04-17
24892,2,0,2,1,0,0,0,109,0,0,0,0,72.25,0,0,2018-08-21
24893,1,0,1,5,0,0,0,32,1,0,0,0,73.9,0,1,2018-02-26
24894,1,0,1,3,0,0,0,37,0,0,0,0,95.0,0,0,2018-10-27
24895,2,0,1,3,0,0,0,85,0,0,0,0,86.36,0,0,2018-06-30
24896,2,0,2,1,0,0,0,228,1,0,0,0,93.0,0,0,2018-02-27
24897,2,0,1,2,1,0,0,109,1,0,0,0,107.1,1,0,2018-08-09
24898,2,0,1,1,1,0,0,196,1,0,0,0,85.5,1,1,2018-08-27
24899,1,0,0,4,0,0,0,6,0,0,0,0,76.08,1,0,2017-09-10
24900,2,0,0,3,0,0,0,86,0,0,0,0,100.0,0,0,2017-09-08
24901,2,0,0,1,0,0,0,100,1,0,0,0,90.9,0,1,2018-04-25
24902,2,0,0,4,0,0,0,89,0,0,0,0,75.0,1,0,2018-03-09
24903,2,0,0,3,0,0,4,151,0,0,0,0,200.0,0,1,2018-06-19
24904,2,0,1,3,2,0,0,301,0,0,0,0,115.0,1,1,2018-05-30
24905,2,0,0,2,0,0,1,59,0,0,0,0,72.25,0,0,2017-10-29
24906,2,2,2,2,0,0,3,74,1,0,0,0,177.3,2,0,2018-04-07
24907,2,0,0,5,2,0,0,227,1,0,0,0,90.95,1,0,2018-08-24
24908,2,0,0,2,0,0,1,14,1,0,0,0,184.0,2,0,2018-09-22
24909,2,0,2,4,0,0,1,142,1,0,0,0,116.82,1,0,2018-07-05
24910,3,0,0,2,0,0,1,15,1,0,0,0,137.0,0,1,2018-05-29
24911,2,0,4,7,0,0,0,11,1,0,0,0,111.4,0,1,2018-12-30
24912,2,0,1,3,0,0,0,111,0,0,0,0,72.25,0,0,2017-10-05
24913,3,0,0,2,0,0,1,80,1,0,0,0,123.3,2,0,2018-10-21
24914,2,0,1,4,0,0,0,114,1,0,0,0,129.96,1,0,2018-05-16
24915,1,0,0,3,0,0,0,188,1,0,0,0,130.0,0,1,2018-06-15
24916,2,0,0,5,0,0,0,159,1,0,0,0,99.45,0,1,2018-07-05
24917,2,0,1,2,0,0,0,129,0,0,0,0,80.75,0,0,2018-05-16
24918,2,0,2,1,0,0,1,91,1,0,0,0,118.8,1,0,2018-07-03
24919,2,0,0,3,0,0,0,88,0,0,0,0,105.0,0,0,2018-05-03
24920,3,0,0,3,0,0,1,176,1,0,0,0,137.7,0,1,2018-08-22
24921,2,0,1,1,0,0,0,24,0,0,0,0,118.0,0,0,2018-09-06
24922,2,0,1,2,0,0,0,121,0,0,0,0,80.75,0,0,2018-05-10
24923,2,0,2,2,0,0,0,41,0,0,0,0,105.0,0,0,2018-11-11
24924,1,0,0,2,0,0,0,151,0,0,0,0,71.0,0,0,2018-01-19
24925,2,0,1,2,0,0,0,0,0,0,0,0,65.0,0,0,2017-08-29
24926,2,0,2,5,0,0,1,38,1,0,0,0,149.4,2,0,2018-09-15
24927,2,0,1,1,0,0,0,168,1,0,0,0,85.0,0,1,2018-04-06
24928,1,0,0,2,0,0,0,31,0,0,0,0,67.5,2,0,2018-02-04
24929,2,0,0,2,0,0,0,197,1,0,0,0,81.77,1,0,2018-09-07
24930,2,1,1,2,2,0,0,32,0,0,0,0,130.0,1,0,2018-03-25
24931,2,1,1,2,0,0,1,81,1,0,0,0,119.07,0,1,2018-10-30
24932,2,0,2,3,0,0,0,41,0,0,0,0,69.29,0,0,2018-12-08
24933,2,0,0,1,0,1,0,77,1,0,0,0,135.9,1,0,2018-06-02
24934,2,0,1,2,0,0,0,123,1,0,0,0,126.9,1,0,2018-06-10
24935,2,0,0,2,0,0,0,124,1,0,0,0,96.3,1,0,2018-08-20
24936,1,0,0,3,0,0,0,9,4,1,1,0,0.0,0,0,2017-10-06
24937,2,0,1,3,0,0,0,250,1,0,0,0,96.3,0,1,2018-09-27
24938,3,0,2,2,0,0,1,76,1,0,0,0,150.45,2,0,2018-06-10
24939,2,0,0,2,0,0,0,119,1,0,0,0,72.25,3,0,2017-12-29
24940,2,0,2,2,0,0,0,3,0,0,0,0,71.4,0,0,2017-09-06
24941,2,0,0,3,0,0,0,150,0,0,0,0,130.0,1,0,2018-06-16
24942,2,0,1,2,2,0,0,14,0,0,0,0,82.0,0,0,2017-09-14
24943,2,0,0,2,1,0,0,149,1,0,0,0,129.0,0,1,2018-09-09
24944,2,0,2,5,0,0,0,151,0,0,0,0,72.25,0,1,2018-08-04
24945,2,0,1,0,1,0,0,286,1,0,0,0,84.15,0,1,2018-09-11
24946,2,0,2,5,0,0,1,215,1,0,0,0,99.45,0,1,2018-08-08
24947,1,0,1,0,0,0,0,3,0,0,0,0,95.0,0,0,2018-06-03
24948,2,0,0,2,2,0,0,292,0,0,0,0,115.0,1,1,2018-07-27
24949,2,0,0,1,0,0,3,2,4,1,4,16,0.0,4,0,2018-10-27
24950,2,0,0,1,0,0,0,109,1,0,0,0,76.5,1,1,2017-07-16
24951,3,0,0,2,0,0,1,1,1,0,0,0,127.0,2,0,2018-02-19
24952,2,1,2,1,0,0,0,187,1,0,0,0,112.5,0,1,2018-07-29
24953,2,0,0,2,0,0,0,57,0,0,0,0,85.5,1,0,2018-04-26
24954,2,0,2,3,0,0,1,64,1,0,0,0,112.2,0,1,2018-04-17
24955,2,0,1,2,0,0,0,83,0,0,0,0,75.0,0,0,2018-12-03
24956,2,0,2,5,2,0,0,230,1,0,0,0,137.0,0,1,2018-09-06
24957,1,0,1,1,0,0,0,10,0,0,0,0,118.15,0,0,2018-09-19
24958,2,1,2,1,0,0,0,14,0,0,0,0,119.0,0,0,2018-07-24
24959,1,0,3,7,0,0,0,215,1,0,0,0,90.95,0,1,2018-10-19
24960,2,0,2,5,0,0,0,272,1,0,0,0,90.1,1,1,2018-07-28
24961,2,0,2,2,1,0,0,110,1,0,0,0,78.1,1,0,2018-11-12
24962,2,0,0,3,0,0,5,18,1,0,0,0,199.43,2,0,2018-12-29
24963,2,0,0,3,0,0,0,75,0,0,0,0,75.0,0,0,2018-12-08
24964,2,2,2,1,0,0,3,32,1,0,0,0,207.9,1,0,2018-08-14
24965,2,1,0,2,0,0,0,83,1,0,0,0,92.4,1,0,2018-11-11
24966,2,0,0,3,2,0,0,36,0,0,0,0,112.0,1,0,2018-10-13
24967,2,0,0,2,1,0,0,164,1,0,0,0,116.1,0,1,2018-09-16
24968,3,0,2,0,0,0,1,65,1,0,0,0,152.1,2,0,2018-08-23
24969,2,0,2,2,0,0,0,99,0,0,0,0,80.75,2,0,2018-08-27
24970,2,0,0,4,0,0,0,180,1,0,0,0,66.49,2,1,2018-10-26
24971,2,0,1,2,0,0,0,54,0,0,0,0,75.0,0,0,2018-11-19
24972,1,0,0,3,0,0,0,151,0,0,0,0,110.0,0,1,2018-01-19
24973,2,0,0,3,0,0,0,124,1,0,0,0,105.3,0,1,2018-08-11
24974,2,1,0,4,0,0,1,57,1,0,0,0,168.3,2,0,2018-09-23
24975,2,2,0,4,0,0,3,228,1,0,0,0,136.19,1,1,2018-12-29
24976,2,0,2,2,1,0,0,127,1,0,0,0,94.5,2,0,2018-07-26
24977,2,0,2,5,0,0,0,151,1,0,0,0,99.45,1,1,2018-08-05
24978,3,0,0,5,0,1,1,65,1,0,0,0,146.7,1,0,2018-07-06
24979,3,0,0,2,0,0,1,59,1,0,0,0,159.3,2,0,2018-06-29
24980,2,0,0,4,0,0,1,141,1,0,0,0,97.75,1,0,2018-11-06
24981,2,0,0,3,2,0,0,16,0,0,0,0,131.6,0,0,2018-04-14
24982,3,0,0,1,0,0,1,2,1,0,0,0,177.0,1,0,2018-07-27
24983,2,0,0,1,0,0,1,26,1,0,0,0,170.0,2,0,2018-11-11
24984,2,0,1,3,0,0,0,249,1,0,0,0,126.9,0,1,2018-09-07
24985,2,0,0,2,0,0,1,130,1,0,0,0,139.5,1,0,2018-10-29
24986,2,0,1,1,0,0,0,113,1,0,0,0,105.3,0,0,2018-07-23
24987,1,0,0,3,0,0,0,1,0,0,0,0,95.0,0,0,2017-10-20
24988,2,0,2,5,0,0,1,188,1,0,0,0,112.01,1,1,2018-08-06
24989,2,0,1,2,2,0,0,200,1,0,0,0,106.0,0,1,2018-09-26
24990,2,0,0,4,0,0,0,67,0,0,0,0,61.16,0,0,2018-03-01
24991,2,0,0,2,1,0,0,130,1,0,0,0,79.2,0,1,2018-11-02
24992,1,0,1,2,0,0,0,0,2,0,0,0,55.0,0,1,2018-03-07
24993,2,0,0,5,0,0,0,40,1,0,0,0,72.76,0,0,2017-10-15
24994,2,0,0,2,0,0,0,192,1,0,0,0,94.5,0,1,2018-08-25
24995,2,0,1,2,0,0,0,163,1,0,0,0,126.9,2,0,2018-09-12
24996,1,0,0,2,0,0,0,64,2,0,0,0,130.0,0,0,2018-05-09
24998,1,0,2,2,0,0,0,9,0,0,0,0,95.0,0,0,2018-10-30
24999,2,0,2,2,0,0,0,118,1,0,0,0,107.25,1,0,2017-12-11
25000,2,0,2,2,0,0,0,102,1,0,0,0,89.25,0,1,2017-10-30
25001,2,0,1,3,0,0,0,134,1,0,0,0,90.95,1,0,2018-06-30
25002,2,0,1,2,0,0,0,131,1,0,0,0,105.3,3,0,2018-08-12
25003,3,0,2,2,0,0,0,119,1,0,0,0,96.9,3,0,2018-12-27
25004,2,0,0,3,0,0,0,75,0,0,0,0,75.0,0,0,2018-05-17
25005,3,0,0,3,0,0,1,46,1,0,0,0,114.3,0,1,2018-03-11
25006,2,0,1,5,0,0,0,210,1,0,0,0,90.95,1,0,2018-08-15
25007,2,0,1,1,0,0,0,240,1,0,0,0,80.95,0,0,2018-08-27
25008,1,0,0,1,0,0,0,64,2,0,0,0,79.0,1,0,2018-11-17
25009,2,0,2,2,0,0,0,172,0,0,0,0,95.0,0,1,2018-05-22
25010,2,0,0,2,0,0,0,198,0,0,0,0,90.0,1,1,2018-09-09
25011,2,0,2,3,0,0,0,232,1,0,0,0,75.65,1,0,2018-12-24
25012,2,0,2,4,0,0,0,204,1,0,0,0,76.5,3,0,2017-08-20
25013,2,2,2,1,0,0,3,179,1,0,0,0,182.26,2,1,2018-09-30
25014,2,0,2,1,0,0,0,133,0,0,0,0,84.33,1,0,2018-03-05
25015,1,0,1,4,0,0,0,245,0,0,0,0,110.0,0,1,2018-07-06
25016,2,1,0,1,0,0,0,14,1,0,0,0,159.0,0,1,2018-05-24
25017,2,0,0,2,0,0,0,32,0,0,0,0,73.0,0,1,2017-11-11
25018,3,0,2,3,0,0,1,65,1,0,0,0,142.88,4,0,2018-09-02
25019,2,0,1,2,0,0,2,40,0,0,0,0,72.36,1,0,2017-10-19
25020,1,0,0,2,0,0,0,3,2,1,0,18,66.0,1,0,2018-01-14
25021,1,0,1,0,0,0,0,0,2,1,0,18,65.0,1,0,2018-03-21
25022,2,0,1,5,0,0,0,128,1,0,0,0,114.3,1,0,2018-08-08
25023,2,0,1,2,0,0,1,93,1,0,0,0,105.3,2,0,2018-04-25
25024,2,0,0,3,0,0,0,122,0,0,0,0,68.0,0,0,2018-12-08
25025,3,0,2,4,0,0,1,24,1,0,0,0,154.33,0,0,2018-06-12
25026,2,0,0,3,1,0,0,177,1,0,0,0,85.5,0,1,2018-10-26
25027,1,0,0,1,0,0,0,1,4,1,0,3,0.0,1,0,2018-05-06
25028,2,0,2,3,0,0,0,71,0,0,0,0,80.75,0,0,2018-06-17
25029,1,0,0,1,0,0,0,0,0,0,0,0,109.65,0,0,2018-10-30
25030,2,0,1,5,0,0,1,129,1,0,0,0,132.3,0,1,2018-10-11
25031,3,0,2,1,0,0,1,31,1,0,0,0,114.3,0,1,2018-03-06
25032,2,0,2,1,0,0,1,132,1,0,0,0,106.2,1,1,2018-11-01
25033,2,0,0,4,0,0,1,40,1,0,0,0,118.8,1,0,2018-03-05
25034,2,0,0,2,0,0,0,242,0,0,0,0,72.25,1,0,2018-08-19
25035,2,0,2,2,0,0,1,157,1,0,0,0,114.3,1,1,2018-07-16
25036,2,1,2,3,0,0,0,167,1,0,0,0,119.85,2,1,2018-05-13
25037,2,0,0,1,0,0,1,5,1,0,0,0,161.0,2,0,2018-05-25
25038,2,0,2,5,0,0,0,254,1,0,0,0,82.29,0,1,2018-12-27
25039,2,0,1,5,0,0,0,275,1,0,0,0,90.0,0,1,2018-10-05
25040,2,0,0,3,1,0,0,98,1,0,0,0,79.2,2,0,2018-12-08
25041,2,0,2,1,0,0,0,60,0,0,0,0,65.0,0,0,2017-09-21
25042,2,0,0,2,0,0,0,163,0,0,0,0,110.0,0,1,2018-09-08
25043,2,1,1,4,0,0,0,31,1,0,0,0,131.03,1,0,2018-07-23
25044,2,0,2,1,2,0,0,8,0,0,0,0,116.5,0,0,2017-08-24
25045,3,0,1,0,0,0,1,26,1,0,0,0,153.0,0,1,2018-04-28
25046,1,0,2,2,0,0,1,82,1,0,0,0,109.37,1,0,2018-04-16
25047,2,0,2,1,0,0,0,11,2,1,1,0,75.0,0,0,2017-12-11
25048,1,0,1,4,0,0,0,91,0,0,0,0,80.0,0,1,2017-09-30
25049,2,0,0,3,0,0,0,100,1,0,0,0,73.95,1,0,2018-03-17
25050,2,0,0,2,0,0,0,119,1,0,0,0,99.3,1,0,2018-04-29
25051,2,0,0,3,0,0,1,38,0,0,0,0,60.0,0,0,2017-11-03
25052,2,0,2,3,0,0,0,130,1,0,0,0,87.55,1,0,2018-04-20
25053,2,0,2,1,1,0,0,173,1,0,0,0,94.5,2,0,2018-08-13
25054,2,0,2,5,0,0,0,139,1,0,0,0,107.87,3,0,2018-08-22
25055,2,0,0,1,1,1,0,99,1,0,0,0,85.5,1,0,2018-06-27
25056,2,0,1,3,0,0,0,275,1,0,0,0,110.0,2,1,2018-10-05
25057,2,0,1,3,0,0,0,303,0,0,0,0,78.0,1,0,2018-12-19
25058,3,0,2,0,0,0,1,72,1,0,0,0,122.4,0,1,2018-11-27
25059,2,2,0,1,0,0,5,20,1,0,0,0,231.0,1,0,2018-07-06
25060,2,0,1,0,1,0,0,167,1,0,0,0,94.5,1,1,2018-08-01
25061,2,0,1,0,0,0,0,182,1,0,0,0,117.9,2,0,2018-10-30
25062,1,0,1,4,2,0,0,0,0,0,0,0,90.6,0,0,2017-09-27
25063,3,0,2,5,0,0,1,4,1,0,0,0,162.0,0,0,2018-09-15
25064,2,0,2,4,0,0,0,114,1,0,0,0,129.6,0,0,2018-09-23
25065,2,0,1,2,0,0,0,91,0,0,0,0,80.0,0,1,2018-09-30
25066,2,0,1,3,0,0,0,268,0,0,0,0,95.4,0,1,2018-06-02
25067,2,0,2,2,0,0,0,164,1,0,0,0,99.45,1,1,2018-07-24
25068,2,0,0,1,0,0,2,35,1,0,0,0,67.5,1,1,2017-07-17
25069,1,0,0,2,0,0,0,23,0,0,0,0,109.0,0,0,2018-10-28
25070,2,0,1,0,0,0,0,146,1,0,0,0,95.0,0,1,2018-04-24
25071,3,0,0,2,0,0,1,154,1,0,0,0,151.2,0,1,2018-10-06
25072,2,0,0,1,2,0,0,35,0,0,0,0,97.0,1,0,2018-09-26
25073,2,0,1,3,0,0,0,90,0,0,0,0,80.75,1,0,2018-10-21
25074,2,2,0,2,0,0,3,18,1,0,0,0,196.0,0,0,2017-09-24
25075,2,0,1,3,0,0,0,178,1,0,0,0,102.85,2,1,2018-10-03
25076,3,0,2,1,0,0,1,70,1,0,0,0,137.7,0,1,2018-07-16
25077,2,0,1,2,0,0,0,81,0,0,0,0,95.0,0,0,2018-03-25
25078,3,0,2,2,0,0,0,77,1,0,0,0,150.45,0,1,2018-05-15
25079,2,0,0,2,0,0,0,271,0,0,0,0,91.38,1,0,2018-09-21
25080,2,0,0,1,0,0,0,4,0,0,0,0,121.0,0,1,2018-06-09
25081,2,0,1,3,2,0,3,35,1,0,0,0,183.45,1,0,2018-12-16
25082,3,0,2,1,0,0,1,145,1,0,0,0,131.7,1,0,2018-07-03
25083,2,0,0,2,2,0,0,292,0,0,0,0,112.0,0,1,2018-07-21
25084,2,0,1,1,0,0,0,105,1,0,0,0,72.25,1,1,2017-12-26
25085,2,0,1,3,0,0,1,111,1,0,0,0,91.48,0,0,2018-04-24
25086,3,0,0,2,0,0,1,160,1,0,0,0,145.8,1,1,2018-08-31
25087,2,0,0,2,0,0,0,114,1,0,0,0,75.0,0,1,2018-10-01
25088,2,0,0,3,0,0,0,157,0,0,0,0,72.25,0,0,2018-07-13
25089,2,0,0,1,0,0,3,40,1,0,0,0,156.6,0,1,2018-12-24
25090,2,0,1,2,0,0,0,193,1,0,0,0,120.0,0,1,2018-06-01
25091,2,0,0,4,0,0,0,153,1,0,0,0,114.75,1,1,2018-06-30
25092,2,0,1,3,0,0,0,136,1,0,0,0,118.8,1,1,2018-10-05
25093,2,0,2,2,0,0,0,132,1,0,0,0,105.83,0,1,2018-07-05
25094,1,0,0,1,1,0,0,37,0,0,0,0,116.1,0,0,2018-05-18
25095,2,0,1,2,0,0,0,84,0,0,0,0,75.0,0,0,2018-05-02
25096,2,0,2,2,0,0,0,308,0,0,0,0,78.3,0,1,2018-11-20
25097,1,0,2,1,0,0,0,163,0,0,0,0,115.0,1,1,2018-10-15
25098,2,0,2,2,0,0,0,163,0,0,0,0,80.75,0,1,2018-10-02
25099,1,0,2,3,0,0,0,73,1,0,0,0,79.37,1,0,2017-11-03
25100,2,0,0,2,0,0,0,317,0,0,0,0,90.0,0,1,2018-09-15
25101,2,0,2,3,0,0,0,120,1,0,0,0,79.05,1,0,2018-03-27
25102,2,0,0,2,2,0,3,150,1,0,0,0,231.6,0,1,2018-08-19
25103,3,0,2,3,0,0,1,62,1,0,0,0,125.63,2,1,2018-03-20
25104,2,0,1,1,0,0,0,145,0,0,0,0,65.0,0,0,2018-10-03
25105,2,0,2,5,0,0,1,162,0,0,0,0,62.0,0,0,2018-03-11
25106,2,0,1,2,0,0,0,121,0,0,0,0,120.0,0,1,2018-06-24
25107,2,0,0,2,0,0,0,12,0,0,0,0,65.0,0,0,2017-08-04
